Year,Month,EPU,GPR,CPU
2021,10,248.4736,79.0292,259.7489
2021,11,329.0694,86.5691,411.2888
2021,12,344.0034,105.3454,266.2633
2022,1,319.0715,138.675,209.0009
2022,2,167.0819,216.159,221.2773
2022,3,359.0052,318.9549,229.6156
2022,4,337.1538,191.1431,225.9683
2022,5,386.7502,142.2585,235.5591
2022,6,328.095,130.7073,189.2958
2022,7,359.9774,117.1768,336.7758
2022,8,260.881,132.8632,255.6456
2022,9,242.5569,131.9859,178.5962
2022,10,259.0492,143.1624,204.4393
2022,11,448.5888,116.7163,220.3033
2022,12,310.497,111.1959,198.4816
2023,1,275.4136,104.267,213.566
2023,2,364.2877,120.9944,242.0564
2023,3,516.9769,105.3862,287.5295
2023,4,392.605,106.8235,226.2019
2023,5,233.9916,108.4743,227.9405
2023,6,290.4076,110.5695,218.0458
2023,7,233.7482,107.2617,231.7007
2023,8,227.1501,101.2518,153.418
2023,9,249.4848,98.8425,213.5993
2023,10,160.9795,197.9698,150.6064
2023,11,229.346,156.4875,249.2878
2023,12,312.7941,142.074,240.1197
